timestamp,x,y,theta,beta,omega,dot_beta,vx,steer,gas
0.000000000000000000e+00,6.499907808163482237e+00,-8.514114549218335104e-02,2.864467732118295556e-02,-3.665191429188032618e-02,9.053384723255691706e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+08,6.499907808163482237e+00,-8.514114549218335104e-02,2.899720170710856637e-02,-3.665191429188032618e-02,7.616431890551230094e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+08,6.499907808163482237e+00,-8.514114549218335104e-02,2.904234759385378173e-02,-3.665191429188032618e-02,1.947765225340403195e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.000000000000000000e+08,6.499907808163482237e+00,-8.514114549218335104e-02,2.823441945827824887e-02,-3.665191429188032618e-02,-1.887621978378661858e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000000e+08,6.499907808163482237e+00,-8.514114549218335104e-02,3.196335418546882717e-02,-3.665191429188032618e-02,1.293167832295833829e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e+08,6.499907808163482237e+00,-8.514114549218335104e-02,2.716958340106545924e-02,-3.665191429188032618e-02,1.947765225340403195e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.849148201912373668e-02
6.000000000000000000e+08,6.499907808163482237e+00,-8.514114549218335104e-02,2.920117474803916521e-02,-3.665191429188032618e-02,3.016028936929537885e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.846901432746814342e-02
7.000000000000000000e+08,6.499907808163482237e+00,-8.514114549218335104e-02,2.872292016372973017e-02,-3.665191429188032618e-02,2.896504106138249497e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.284556097313337142e-01
8.000000000000000000e+08,6.499907808163482237e+00,-8.514114549218335104e-02,2.876357855426392787e-02,-3.665191429188032618e-02,3.016028936929537885e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.584961186826331359e-01
9.000000000000000000e+08,6.499907808163482237e+00,-8.514114549218335104e-02,2.794121801833140961e-02,-3.665191429188032618e-02,3.632011575825350603e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.778348922729492132e-01
1.000000000000000000e+09,6.499907808163482237e+00,-8.514114549218335104e-02,3.029458795615295325e-02,-3.665191429188032618e-02,1.892715086286888334e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.801271976323587931e-01
1.100000000000000000e+09,6.499907808163482237e+00,-8.514114549218335104e-02,3.049766746235823417e-02,-3.665191429188032618e-02,3.982062448108516194e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.870169657538011121e-01
1.200000000000000000e+09,6.499907808163482237e+00,-8.514114549218335104e-02,3.277751256813775382e-02,-3.576944243269727930e-02,3.016028936929537885e-03,2.647415577549109850e-03,0.000000000000000000e+00,0.000000000000000000e+00,2.010856604169515005e-01
1.300000000000000000e+09,6.499907808163482237e+00,-8.514114549218335104e-02,3.597597159172626763e-02,-3.565445699070202840e-02,1.869838400683235041e-03,2.992371903534858657e-03,0.000000000000000000e+00,0.000000000000000000e+00,2.073498928504714789e-01
1.400000000000000000e+09,6.499907808163482237e+00,-8.514114549218335104e-02,3.166287459950170580e-02,-3.665191429188032618e-02,2.919301236287085398e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.086553525924682573e-01
1.500000000000000000e+09,6.499907808163482237e+00,-8.514114549218335104e-02,3.382876887771583962e-02,-3.665191429188032618e-02,2.695609749893388557e-03,-3.120151051405953106e-03,0.000000000000000000e+00,0.000000000000000000e+00,2.090186728255175042e-01
1.600000000000000000e+09,6.499907808163482237e+00,-8.514114549218335104e-02,3.417839486749679745e-02,-3.665191429188032618e-02,2.437302560987673981e-03,-2.767755518064592309e-03,0.000000000000000000e+00,0.000000000000000000e+00,2.110972532236166932e-01
1.700000000000000000e+09,6.499907808163482237e+00,-8.514114549218335104e-02,3.464320240904616294e-02,-3.490658503988600114e-02,1.005771359836166862e-03,5.235987755982899651e-03,0.000000000000000000e+00,0.000000000000000000e+00,2.112384510040283270e-01
1.800000000000000000e+09,6.499907808163482237e+00,-8.514114549218335104e-02,3.557747458656242145e-02,-3.490658503988600114e-02,2.173742585430907953e-03,5.235987755982899651e-03,0.000000000000000000e+00,0.000000000000000000e+00,2.102463621358841017e-01
1.900000000000000000e+09,6.499907808163482237e+00,-8.514114549218335104e-02,3.300651247143852191e-02,-3.490658503988600114e-02,2.312903486197516109e-03,5.235987755982899651e-03,0.000000000000000000e+00,0.000000000000000000e+00,2.070707974625061176e-01
