timestamp,x,y,theta,beta,omega,dot_beta,vx,steer,gas
0.000000000000000000e+00,1.171551792441361428e+01,-1.816282232988045919e+00,2.094152671969956928e-02,-8.726646259971500286e-03,1.860461040057295691e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+08,1.171551792441361428e+01,-1.816282232988045919e+00,2.084001981425932445e-02,-8.726646259971500286e-03,1.056243673078387409e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+08,1.171551792441361428e+01,-1.816282232988045919e+00,2.073851290881907963e-02,-8.726646259971500286e-03,1.139588544962833946e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.000000000000000000e+08,1.171551792441361428e+01,-1.816282232988045919e+00,2.063700600337883481e-02,-8.726646259971500286e-03,1.947765225340403195e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000000e+08,1.171551792441361428e+01,-1.816282232988045919e+00,2.053549909793858999e-02,-8.726646259971500286e-03,1.947765225340403195e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.445306475710186667e-02
5.000000000000000000e+08,1.171551792441361428e+01,-1.816282232988045919e+00,2.043399219249834517e-02,-8.726646259971500286e-03,2.617532537383399603e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.044817710454272186e-01
6.000000000000000000e+08,1.171551792441361428e+01,-1.816282232988045919e+00,2.033248528705810382e-02,-8.726646259971500286e-03,1.389896606755047087e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.344530171684297226e-01
7.000000000000000000e+08,1.171551792441361428e+01,-1.816282232988045919e+00,2.023097838161785900e-02,-8.726646259971500286e-03,1.775587552213268080e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.644876347925208204e-01
8.000000000000000000e+08,1.171541330007415915e+01,-1.815863610383577020e+00,2.012947147617761418e-02,-8.726646259971500286e-03,5.997561216478171538e-04,0.000000000000000000e+00,8.197058614216604783e-03,0.000000000000000000e+00,1.944849242374771525e-01
9.000000000000000000e+08,1.171341409430777603e+01,-1.807801246536618223e+00,2.002796457073736935e-02,-6.981317007977175249e-03,-7.069778767938828500e-04,5.235987755982899651e-03,1.197409062441048694e-01,0.000000000000000000e+00,2.244388168593081656e-01
1.000000000000000000e+09,1.171084726865768566e+01,-1.797684298583251294e+00,1.992645766529712453e-02,-6.981317007977175249e-03,-6.329630885566464062e-03,5.235987755982899651e-03,6.667794859133610585e-02,4.771870651568740906e-03,2.544702042688589128e-01
1.100000000000000000e+09,1.171040616497161935e+01,-1.795993911943903010e+00,1.982495075985687971e-02,-5.235987755982850211e-03,-7.414671234789731342e-03,1.047197551196579930e-02,7.800337386176780727e-03,0.000000000000000000e+00,2.844579222552532927e-01
1.200000000000000000e+09,1.170675256267500508e+01,-1.782166709794313908e+00,1.972344385441663489e-02,-3.490658503988649641e-03,-8.734871890550950646e-03,1.047197551196579930e-02,2.264778500113455439e-01,-2.524738099695614940e-02,3.110990783606596422e-01
