timestamp,x,y,theta,beta,omega,dot_beta,vx,steer,gas
0.000000000000000000e+00,5.854324234644382230e+00,-3.271411622389984175e-01,2.551178275447238755e-02,1.745329251994300057e-01,4.084292648518672575e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+08,5.854324234644382230e+00,-3.271411622389984175e-01,2.593895806992136538e-02,1.745329251994300057e-01,3.131700803789507891e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+08,5.854324234644382230e+00,-3.271411622389984175e-01,2.346918429553061444e-02,1.745329251994300057e-01,4.084292648518672575e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.000000000000000000e+08,5.854324234644382230e+00,-3.271411622389984175e-01,2.574559911773834781e-02,1.745329251994300057e-01,5.152556360107807265e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.512345427519959956e-02
4.000000000000000000e+08,5.854324234644382230e+00,-3.271411622389984175e-01,2.514968619901901056e-02,1.745329251994300057e-01,4.064122151988344527e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.624803354663676536e-02
5.000000000000000000e+08,5.854324234644382230e+00,-3.271411622389984175e-01,2.686401213124763390e-02,1.745329251994300057e-01,4.084292648518672575e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.162650902225350058e-01
6.000000000000000000e+08,5.854324234644382230e+00,-3.271411622389984175e-01,2.504958875109304650e-02,1.745329251994300057e-01,5.008425541877527601e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.462722441980341126e-01
7.000000000000000000e+08,5.854324234644382230e+00,-3.271411622389984175e-01,2.668099586098542086e-02,1.745329251994300057e-01,3.923135824392544151e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.762744554023606969e-01
8.000000000000000000e+08,5.854324234644382230e+00,-3.271411622389984175e-01,2.668012763534814008e-02,1.745329251994300057e-01,4.262572039117162696e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.033983791295515819e-01
9.000000000000000000e+08,5.854324234644382230e+00,-3.271411622389984175e-01,3.008495731653482858e-02,1.745329251994300057e-01,5.785442409373025945e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.216610602362541482e-01
1.000000000000000000e+09,5.854324234644382230e+00,-3.271411622389984175e-01,2.676096759130740937e-02,1.745329251994300057e-01,1.922825874856029385e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.471151833249752294e-01
1.100000000000000000e+09,5.854324234644382230e+00,-3.271411622389984175e-01,2.785722440439721004e-02,1.733088306866469586e-01,6.728653938632908615e-03,-3.672283538349069461e-03,0.000000000000000000e+00,0.000000000000000000e+00,2.554584423658863290e-01
1.200000000000000000e+09,5.854419235943785438e+00,-3.270732816262487685e-01,2.661661545991067523e-02,1.727875959474356737e-01,2.411411068532696902e-03,-5.235987755982899651e-03,2.555104498292727275e-03,0.000000000000000000e+00,2.559956741333007657e-01
1.300000000000000000e+09,5.864765217379242834e+00,-3.197314458111036317e-01,3.326250812335299761e-02,1.745329251994300057e-01,-4.336757152729393133e-02,0.000000000000000000e+00,1.304682410534791226e-01,0.000000000000000000e+00,2.559956741333007657e-01
1.400000000000000000e+09,5.866478514493016050e+00,-3.185368252649646292e-01,3.653387199026288112e-02,1.762782544514243377e-01,-8.438763691825862390e-02,9.010571978083782574e-03,3.230258988271986990e-03,0.000000000000000000e+00,2.559956741333007657e-01
1.500000000000000000e+09,5.877681115754083585e+00,-3.107277185238329076e-01,3.039358133275438939e-02,1.780235837034186419e-01,-1.022038969298212918e-01,1.745329251994300057e-02,2.482109093042517700e-01,-2.570904837057775283e-01,2.559956741333007657e-01
1.600000000000000000e+09,5.919762028036757329e+00,-2.814713530140447451e-01,1.923146089589090543e-02,1.809391660371354738e-01,-1.335859636257587246e-01,2.096405176511077773e-02,6.136558977391443070e-01,-5.182367172729236415e-01,2.542183698314637308e-01
1.700000000000000000e+09,5.980554224634071048e+00,-2.400072854921492804e-01,2.328633473001293086e-02,1.815142422074071948e-01,-9.802954229852701984e-02,1.745329251994300057e-02,7.653453660976861084e-01,-6.978931416674045707e-01,2.522462542829591592e-01
1.800000000000000000e+09,6.047900212005042242e+00,-1.954364984803979022e-01,2.286665028071105388e-02,1.667948897956331722e-01,6.292732523800979860e-02,-3.668243479925762524e-02,8.288109136492617379e-01,-8.326442217432508119e-01,2.496853312424531235e-01
1.900000000000000000e+09,6.120207653772556711e+00,-1.486550666199713544e-01,1.025709978367797884e-02,1.120739307614746633e-01,2.759765031661559065e-01,-2.288920267278896636e-01,8.546048179309183590e-01,-8.579598729766102494e-01,2.486907911300659246e-01
2.000000000000000000e+09,6.192642300912465814e+00,-1.016655505307120233e-01,3.554782528663680274e-02,4.029771217134022615e-02,2.445063725629282869e-01,-4.702983627551807766e-01,8.840272386699341567e-01,-7.468977581428376533e-01,2.504984167714313648e-01
2.100000000000000000e+09,6.264665348349182317e+00,-5.320288658477950738e-02,1.830578982856009146e-02,-1.746940193409314210e-02,2.895492636692514332e-01,-6.143720061161437318e-01,8.390571184300873453e-01,-5.857345167037490974e-01,2.523775897109358235e-01
2.200000000000000000e+09,6.328990726063273620e+00,-7.761723159182571524e-03,1.393645639766933828e-02,-7.716845761341167842e-02,3.523452960164226710e-01,-6.296898894442798378e-01,7.663162411930588558e-01,-3.943157915026843097e-01,2.556274414694799102e-01
