timestamp,x,y,theta,beta,omega,dot_beta,vx,steer,gas
0.000000000000000000e+00,5.491314651093748722e+00,1.372527526245558571e-01,-2.088373609235672987e-02,2.792526803190882589e-02,3.016028936929537885e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+08,5.491314651093748722e+00,1.372527526245558571e-01,-2.377824283695897239e-02,2.792526803190882589e-02,1.230166970911467528e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+08,5.491314651093748722e+00,1.372527526245558571e-01,-2.009666987232311061e-02,2.792526803190882589e-02,2.576458232040441769e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.000000000000000000e+08,5.491314651093748722e+00,1.372527526245558571e-01,-2.210932708671084837e-02,2.792526803190882589e-02,3.016028936929537885e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000000e+08,5.491314651093748722e+00,1.372527526245558571e-01,-1.893562303465919777e-02,2.792526803190882589e-02,2.107159786217685515e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e+08,5.491314651093748722e+00,1.372527526245558571e-01,-2.188153139673380473e-02,2.792526803190882589e-02,2.562704560731848390e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.000000000000000000e+08,5.491314651093748722e+00,1.372527526245558571e-01,-2.334860683245092161e-02,2.792526803190882589e-02,3.016028936929537885e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.000000000000000000e+08,5.491314651093748722e+00,1.372527526245558571e-01,-2.167343465655473256e-02,2.792526803190882589e-02,5.091191211506689886e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.000000000000000000e+08,5.491314651093748722e+00,1.372527526245558571e-01,-2.409026155851758111e-02,2.792526803190882589e-02,3.016028936929537885e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.000000000000000000e+08,5.491314651093748722e+00,1.372527526245558571e-01,-2.434949992856786857e-02,2.792526803190882589e-02,4.084292648518672575e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+09,5.491314651093748722e+00,1.372527526245558571e-01,-2.418679421679127348e-02,2.792526803190882589e-02,1.835690793130788541e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.100000000000000000e+09,5.491314651093748722e+00,1.372527526245558571e-01,-2.640183982057393505e-02,2.792526803190882589e-02,2.192002939305176361e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.200000000000000000e+09,5.491314651093748722e+00,1.372527526245558571e-01,-2.513795382608767850e-02,2.792526803190882589e-02,2.395078517482033056e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.300000000000000000e+09,5.491314651093748722e+00,1.372527526245558571e-01,-1.911186027980932636e-02,2.792526803190882589e-02,3.016028936929537885e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.400000000000000000e+09,5.491314651093748722e+00,1.372527526245558571e-01,-2.211670479681149271e-02,2.792526803190882589e-02,3.016028936929537885e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.500000000000000000e+09,5.491314651093748722e+00,1.372527526245558571e-01,-2.401265716154123500e-02,2.792526803190882589e-02,3.901652104808751766e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.600000000000000000e+09,5.491314651093748722e+00,1.372527526245558571e-01,-2.409692045946123726e-02,2.792526803190882589e-02,3.832643934336129460e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.700000000000000000e+09,5.491314651093748722e+00,1.372527526245558571e-01,-1.978181788368414337e-02,2.792526803190882589e-02,3.016028936929537885e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.800000000000000000e+09,5.491314651093748722e+00,1.372527526245558571e-01,-2.169115853549690928e-02,2.792526803190882589e-02,3.357323278278963839e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.900000000000000000e+09,5.491314651093748722e+00,1.372527526245558571e-01,-2.007665047507274300e-02,2.792526803190882589e-02,3.674120816481865094e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+09,5.491314651093748722e+00,1.372527526245558571e-01,-1.964438420863698700e-02,2.792526803190882589e-02,4.084292648518672575e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.100000000000000000e+09,5.491314651093748722e+00,1.372527526245558571e-01,-2.091655714999120577e-02,2.792526803190882589e-02,2.779986881976070218e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.200000000000000000e+09,5.491314651093748722e+00,1.372527526245558571e-01,-2.183659394508402629e-02,2.792526803190882589e-02,3.825525885382784642e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.300000000000000000e+09,5.491314651093748722e+00,1.372527526245558571e-01,-1.845729500848057592e-02,2.792526803190882589e-02,2.181685694886523804e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.400000000000000000e+09,5.491314651093748722e+00,1.372527526245558571e-01,-2.035253744950537083e-02,2.792526803190882589e-02,3.146055199448932228e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.500000000000000000e+09,5.491314651093748722e+00,1.372527526245558571e-01,-2.204219084714575949e-02,2.792526803190882589e-02,3.495730236369211808e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.600000000000000000e+09,5.491314651093748722e+00,1.372527526245558571e-01,-2.072168671461812120e-02,2.792526803190882589e-02,1.635159959014964408e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.700000000000000000e+09,5.491314651093748722e+00,1.372527526245558571e-01,-1.963718008539199963e-02,2.792526803190882589e-02,5.152556360107807265e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.800000000000000000e+09,5.491314651093748722e+00,1.372527526245558571e-01,-2.468332214981085182e-02,2.792526803190882589e-02,8.795015137512685044e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.900000000000000000e+09,5.491314651093748722e+00,1.372527526245558571e-01,-1.809275437167079045e-02,2.792526803190882589e-02,3.016028936929537885e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.000000000000000000e+09,5.491314651093748722e+00,1.372527526245558571e-01,-2.052537031810772877e-02,2.792526803190882589e-02,3.016028936929537885e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.100000000000000000e+09,5.491314651093748722e+00,1.372527526245558571e-01,-2.104175902381940841e-02,2.792526803190882589e-02,3.502361512872025073e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.200000000000000000e+09,5.491314651093748722e+00,1.372527526245558571e-01,-2.249532712169238780e-02,2.792526803190882589e-02,3.744537731961530055e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.300000000000000000e+09,5.491314651093748722e+00,1.372527526245558571e-01,-2.259681822654228261e-02,2.792526803190882589e-02,2.862817963959112758e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.400000000000000000e+09,5.491314651093748722e+00,1.372527526245558571e-01,-2.005130523557517933e-02,2.792526803190882589e-02,3.016028936929537885e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.500000000000000000e+09,5.491314651093748722e+00,1.372527526245558571e-01,-1.975606959456771908e-02,2.792526803190882589e-02,3.687664925456489873e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.600000000000000000e+09,5.491314651093748722e+00,1.372527526245558571e-01,-2.428329424753214102e-02,2.792526803190882589e-02,2.417172505418375538e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.700000000000000000e+09,5.491314651093748722e+00,1.372527526245558571e-01,-1.887135150293613867e-02,2.792526803190882589e-02,1.366834164021047760e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.800000000000000000e+09,5.491314651093748722e+00,1.372527526245558571e-01,-2.016708872756401913e-02,2.792526803190882589e-02,2.660243272056898780e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.900000000000000000e+09,5.491314651093748722e+00,1.372527526245558571e-01,-2.087092407180060616e-02,2.792526803190882589e-02,1.947765225340403195e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000000e+09,5.491314651093748722e+00,1.372527526245558571e-01,-1.982142106542173626e-02,2.792526803190882589e-02,3.016028936929537885e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.930259588136561816e-02
4.100000000000000000e+09,5.491314651093748722e+00,1.372527526245558571e-01,-1.973186746848874101e-02,2.792526803190882589e-02,1.254375689024118858e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-7.978958018925320916e-02
4.200000000000000000e+09,5.491314651093748722e+00,1.372527526245558571e-01,-1.916062392957377722e-02,2.792526803190882589e-02,2.268789944438204514e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.300000000000000000e+09,5.491314651093748722e+00,1.372527526245558571e-01,-1.861425973946763054e-02,2.792526803190882589e-02,5.100478194178754109e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.400000000000000000e+09,5.491314651093748722e+00,1.372527526245558571e-01,-1.859271010654893821e-02,2.792526803190882589e-02,3.286096764669152719e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.500000000000000000e+09,5.491314651093748722e+00,1.372527526245558571e-01,-2.087731773210107361e-02,2.792526803190882589e-02,3.181457178589959175e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.600000000000000000e+09,5.491314651093748722e+00,1.372527526245558571e-01,-1.815457344770369033e-02,2.792526803190882589e-02,2.749891985018129530e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
