timestamp,x,y,theta,beta,omega,dot_beta,vx,steer,gas
0.000000000000000000e+00,1.270141562661499712e+01,-8.391909169639399924e-01,2.795031483763107949e-02,1.151917306316238288e-01,8.010697021977031523e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+08,1.270141562661499712e+01,-8.391909169639399924e-01,2.743647485996275615e-02,1.151917306316238288e-01,-1.887621978378661858e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+08,1.270141562661499712e+01,-8.391909169639399924e-01,2.280949138851891961e-02,1.151917306316238288e-01,1.444631897305060156e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.000000000000000000e+08,1.270141562661499712e+01,-8.391909169639399924e-01,2.571632927610162725e-02,1.151917306316238288e-01,-1.887621978378661858e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000000e+08,1.270141562661499712e+01,-8.391909169639399924e-01,2.570151296883937606e-02,1.151917306316238288e-01,8.000387459759796503e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e+08,1.270141562661499712e+01,-8.391909169639399924e-01,2.488807696259321550e-02,1.151917306316238288e-01,-8.671429846487889361e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.000000000000000000e+08,1.270141562661499712e+01,-8.391909169639399924e-01,2.667369009370125846e-02,1.151917306316238288e-01,-9.219739971333981796e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.052759709843043984e-02
7.000000000000000000e+08,1.270141562661499712e+01,-8.391909169639399924e-01,2.952209507275238565e-02,1.151917306316238288e-01,2.645174291700876264e-06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.048886287755526781e-02
8.000000000000000000e+08,1.270141562661499712e+01,-8.391909169639399924e-01,3.278660261390078240e-02,1.151917306316238288e-01,-1.954952153438374671e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.205243908414178750e-01
9.000000000000000000e+08,1.270141562661499712e+01,-8.391909169639399924e-01,2.581047545709298785e-02,1.151917306316238288e-01,-1.257025909427004345e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.505037341854718047e-01
1.000000000000000000e+09,1.270141562661499712e+01,-8.391909169639399924e-01,3.142718278771863133e-02,1.151917306316238288e-01,6.080345235827415342e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.804775684245553957e-01
1.100000000000000000e+09,1.270119309566852550e+01,-8.387089794896741557e-01,2.617581297308217009e-02,1.139308165146328128e-01,3.132458237587133418e-03,-3.782742350972973303e-03,1.528265017519163556e-02,0.000000000000000000e+00,2.105201046868394044e-01
1.200000000000000000e+09,1.269897251147683193e+01,-8.338611441463613660e-01,3.194206314015350656e-02,1.151917306316238288e-01,-1.849573233008178219e-02,0.000000000000000000e+00,7.056324930987598054e-02,0.000000000000000000e+00,2.404361458395138929e-01
1.300000000000000000e+09,1.269602060959891787e+01,-8.274160543084689845e-01,2.655533118917660987e-02,1.169370598836181468e-01,-5.242263296861871674e-02,5.235987755982899651e-03,5.105999311895111775e-02,0.000000000000000000e+00,2.700461112760969007e-01
1.400000000000000000e+09,1.269451402167928933e+01,-8.241734199098618152e-01,2.402212887862860760e-02,1.204277183876066859e-01,-7.773547144767332939e-02,2.141153988939635544e-02,6.325989742762330725e-02,0.000000000000000000e+00,2.732282829284667924e-01
1.500000000000000000e+09,1.268338446903723060e+01,-7.999083987102787452e-01,3.615364212811606609e-02,1.239183768915953221e-01,-7.749700976125833973e-02,2.792526803190880161e-02,3.441214750051514448e-01,-1.871234301017520307e-01,2.732282829284667924e-01
1.600000000000000000e+09,1.265934898377333262e+01,-7.465186774728916896e-01,3.052239284171661196e-02,1.274090353955838473e-01,-1.007150477339941869e-01,3.490658503988600114e-02,6.519969337554195610e-01,-2.822353404838139346e-01,2.732282829284667924e-01
1.700000000000000000e+09,1.262789509788649056e+01,-6.747554541600034872e-01,3.409887491585553848e-02,1.274090353955838473e-01,-6.095807435761236431e-02,2.268928027592590282e-02,8.085920353747745315e-01,-3.322857424727840847e-01,2.734538390101176608e-01
1.800000000000000000e+09,1.259517551890748521e+01,-5.979706609614465762e-01,3.129384523529463169e-02,1.125367048172862539e-01,3.724901748668950352e-02,-3.721785838209017844e-02,8.385518629760279063e-01,-3.687522262735443701e-01,2.813157000035935718e-01
1.900000000000000000e+09,1.256223838724124953e+01,-5.191771063350121285e-01,2.443551679691711651e-02,8.772631946829484439e-02,2.921749615140430481e-02,-1.312654525458273047e-01,8.635201473238268699e-01,-3.358560142983881835e-01,2.816075865669941947e-01
2.000000000000000000e+09,1.252837390418395458e+01,-4.381888038376116623e-01,2.552198000458788876e-02,7.195669414730629376e-02,1.271129046247757716e-02,-1.838103162647758970e-01,8.790396405129874413e-01,-3.433218768469222804e-01,2.809769344329833829e-01
2.100000000000000000e+09,1.249461357965709851e+01,-3.579346231434843428e-01,2.005128957391062727e-02,5.934119456780617696e-02,6.878447990301087001e-02,-1.769367619808608905e-01,8.607991548000116788e-01,-2.973024358810599788e-01,2.822920488775675918e-01
2.200000000000000000e+09,1.246204427258913228e+01,-2.808553069836688398e-01,2.053138916136846431e-02,4.752083100525455323e-02,9.692483965892996489e-02,-1.326450231515667877e-01,8.288978813486785890e-01,-2.604525928123739287e-01,2.835612964630127020e-01
2.300000000000000000e+09,1.242955453586684555e+01,-2.048553354344752053e-01,2.418901117969170234e-02,2.658331969076785373e-02,6.035003694892031312e-02,-1.500983156715098021e-01,8.290717624093415505e-01,-2.223937411112104634e-01,2.836040338835723595e-01
2.400000000000000000e+09,1.239601364310900600e+01,-1.281596243462340967e-01,2.365821240925501320e-02,1.438844236408456587e-02,6.756376485242879260e-02,-1.488208906271191734e-01,8.395881362955031069e-01,-9.530225523362900741e-02,2.855425267493162389e-01
2.500000000000000000e+09,1.236194974011757530e+01,-5.180359046514518284e-02,2.114520772805511886e-02,6.981317007977175249e-03,7.578328597388354904e-02,-1.340987885404711921e-01,8.338199999999998946e-01,6.123222381750492022e-02,2.847801421170063629e-01
2.600000000000000000e+09,1.232764310473152314e+01,2.379668366713465905e-02,2.575624839737881977e-02,-3.078407381199751471e-03,5.030206053953054784e-02,-9.773843811168080042e-02,8.463430460971992364e-01,1.926427869867310405e-01,2.829145860671997137e-01
2.700000000000000000e+09,1.229050771045584511e+01,1.040961380054295643e-01,2.782843348339686732e-02,-2.155653293710783555e-03,-3.277786975869094281e-03,-5.482182181012772160e-02,8.812591652606563963e-01,2.235426904922113989e-01,2.829145860671997137e-01
2.800000000000000000e+09,1.225248687980330864e+01,1.849679049620534810e-01,3.196033075345759700e-02,8.387762208313770743e-03,-8.116581691226333606e-02,4.219335601009724900e-03,8.947529999999999095e-01,2.038095561762632846e-01,2.829145860671997137e-01
2.900000000000000000e+09,1.221449368134781110e+01,2.653825880156161499e-01,2.737973425422471352e-02,3.104082955946978542e-02,-1.112881882031079434e-01,1.129411487730582753e-01,8.925066914424214515e-01,1.612275940828484244e-01,2.829145860671997137e-01
3.000000000000000000e+09,1.217667567986077160e+01,3.464515504959317371e-01,3.432559101616455832e-02,5.023852119496063223e-02,-9.633249624086004381e-02,1.745329251994300057e-01,8.947663014939669646e-01,1.255240751560375290e-01,2.829145860671997137e-01
3.100000000000000000e+09,1.213923869472942663e+01,4.286392106718291406e-01,2.656686256220398834e-02,6.424392669755581153e-02,-7.942982021186034691e-02,1.850049007113958033e-01,9.027704999999999202e-01,9.776198366939704842e-02,2.829145860671997137e-01
3.200000000000000000e+09,1.210290671911051774e+01,5.106305433129808558e-01,3.449678019107509097e-02,7.504915783575485944e-02,-4.604501468391691832e-02,1.458450942415876195e-01,8.973165901599314820e-01,7.547386139606304667e-02,2.829145860671997137e-01
3.300000000000000000e+09,1.206722171569203717e+01,5.929935535106339861e-01,3.159534274299283935e-02,7.679448708774917753e-02,-3.615939358554990518e-02,8.818844026209544940e-02,8.940946894981740556e-01,7.267860201270980036e-02,2.829145860671997137e-01
3.400000000000000000e+09,1.203228882331743321e+01,6.747395732984842187e-01,2.976627413614600301e-02,8.028514559173782761e-02,-5.508208668193865370e-02,5.327208113375228593e-02,8.863536545659536081e-01,6.728323540472902486e-02,2.829145860671997137e-01
3.500000000000000000e+09,1.199837151231481158e+01,7.548651702814511699e-01,2.831598896731310835e-02,7.853981633974349563e-02,-4.431670608974059428e-02,1.047197551196579930e-02,8.619431914602680989e-01,7.432478579264675811e-02,2.829145860671997137e-01
3.600000000000000000e+09,1.196594035033951542e+01,8.323893570985267942e-01,3.192609614886769004e-02,7.853981633974349563e-02,-3.418292624274401476e-02,5.235987755982899651e-03,8.425040818745320736e-01,7.776589791108232119e-02,2.829145860671997137e-01
